"filename", "language", "C++", "YAML", "Markdown", "C", "CSS", "HTML", "XML", "SCSS", "GLSL", "Python", "ShaderLab", "Objective-C", "Shell Script", "Batch", "Objective-C++", "reStructuredText", "CMake", "Makefile", "Java", "Rust", "Docker", "C#", "JavaScript", "HLSL", "comment", "blank", "total"
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderDNA.cpp", "C++", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 59, 352
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderDNA.h", "C++", 386, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 309, 123, 818
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderDNA.inl", "C++", 552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 126, 846
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderIntermediate.h", "C++", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 33, 206
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderLoader.cpp", "C++", 933, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 234, 1343
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderLoader.h", "C++", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 32, 212
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderModifier.cpp", "C++", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 49, 302
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderModifier.h", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 17, 154
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderScene.cpp", "C++", 675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 128, 894
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Blender\BlenderScene.h", "C++", 576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 254, 147, 977
